ONE,TWO,THREE,FOUR
66,90,97,55
65,51,81,80
47,4,86,77
4,34,17,37
42,71,76,75
30,43,38,32
18,2,82,68
80,23,30,38
2,44,16,93
14,3,65,37
22,63,70,37
42,45,81,91
25,59,63,84
15,16,86,4
92,98,66,39
67,27,69,62
83,23,23,50
1,70,62,35
53,44,24,65
81,12,35,90
67,28,76,6
3,53,24,94
46,96,72,19
85,96,67,4
96,47,72,5
62,98,14,88
58,59,12,25
83,14,86,50
26,13,81,22
32,37,62,80
82,61,66,78
17,7,63,94
11,62,9,52
23,59,88,5
45,3,78,6
23,22,77,32
65,55,48,84
59,62,37,97
59,78,28,27
23,24,44,33
96,46,50,96
58,18,49,18
41,92,12,31
50,23,62,41
80,7,63,17
24,74,46,40
73,52,13,35
45,0,50,76
57,21,79,51
89,88,51,68
41,55,47,83
52,50,14,0
6,57,34,86
96,52,64,90
19,69,18,21
9,69,8,12
42,85,67,17
69,11,39,57
15,17,48,79
88,36,91,49
14,63,71,2
94,61,77,94
72,13,25,90
63,32,50,4
46,77,38,69
9,2,43,6
78,8,96,24
0,82,40,98
92,80,29,42
23,73,35,13
5,53,83,38
53,44,82,32
86,70,90,30
66,17,48,90
63,68,22,7
30,99,97,64
31,8,19,41
4,85,22,96
73,15,26,2
53,96,46,3
26,20,53,84
46,74,92,21
5,45,62,40
28,32,66,33
99,0,82,16
76,28,29,0
10,92,54,75
1,4,13,23
16,29,35,92
52,51,48,36
98,85,3,7
12,26,85,51
94,25,27,62
35,41,41,38
23,1,51,20
47,86,78,25
10,51,89,69
20,64,48,9
32,69,9,72
64,51,41,59
